,account_name,username,post_date,tweet
405,HopeHelps UI,@hopehelps_ui,2021-11-18T12:37:50.000Z,let hope help kamu ada layan tanggap dan cegah keras seksual di kampus universitas indonesia
406,cerita.parapuan,@Cerita_Parapuan,2021-11-18T11:34:04.000Z,cara lapor kasus keras seksual di kampus dasar permendikbud ikut cara lapor kasus keras seksual yang jadi di kampus
407,Rafmh,@rafrimh,2021-11-18T11:33:59.000Z,stop normalisasi keras seksual di kampus
408,Komnas Perempuan,@KomnasPerempuan,2021-11-18T11:12:28.000Z,and permendikbud ini lindung civitas di kampus dari keras seksual kak masuk perempuan disabilitas yang rentan buang atau bunuh bayi sudah ada atur dan pasti kena pidana
409,ıʇɐɥıʞɐʞuɐʇɐʇɐƆ,@catatankaqihati,2021-11-18T09:35:17.000Z,penting permendikbud no tahun untuk cegah keras seksual di dunia didik khusus di lingkung kampus karena seringkali korban yang enggan lapor karena ancam do atau andapan psikis lainny untuk itu sangat perlu permendikbud no tahun
410,ıʇɐɥıʞɐʞuɐʇɐʇɐƆ,@catatankaqihati,2021-11-18T09:31:01.000Z,perlu disilediki itu siapa saja yang nentang permendikbud ristek no bisa jadi mereka semua predator dan mbdukung keras dan leceh seksual di lingkung kampus
411,Riest,@ariestarico2,2021-11-18T09:04:03.000Z,pihak universitas kerap kali bingung tangan lapor keras seksual karena belum tidak ada atur dan pandu yang jelas kait itu maka kampus wajib bentuk satu tugas cegah dan tangan keras seksual
412,Riest,@ariestarico2,2021-11-18T09:04:00.000Z,kasus keras seksual yang jauh ini ungkap di kampus hanya lah puncak gunung es dari puluh ribu yang benar jadi
413,Kalla Jengking,@kalla_jengking,2021-11-18T08:54:45.000Z,apresiasi yang tinggi untuk mas menteri nadiem moga cepat tiap kampus keluar atur rektor di internal masingmasing sehingga kasus keras seksual bisa tangan dengan sebaikbaiknya
414,indiespot.id,@Indiespotid,2021-11-18T08:46:57.000Z,rektor usu dukung permendikbudristek cegah keras seksual di kampus follow media sosial kami
415,Exotic Black Coffee,@Penyair_Berdiri,2021-11-18T08:42:42.000Z,belum dari korban banyak mahasiswa yang lapor jadi keras seksual bisa timbul trauma karena tidak ada dasar hukum di lingkung kampus hal ini gambar betapa desak permendikbud no tahun ini di butuh di sana iya kan
416,jonathan surbakti,@jonathansurbak1,2021-11-18T06:16:14.000Z,kasus duga leceh seksual di kampus unri dosen jadi sangka the ikut media includes potentially sensitive content change settings view
417,CokroTV,@cokro_tv,2021-11-18T06:15:19.000Z,ada kembang tarik soal bijak nadiem tentang cegah dan keras seksual di kampus bijak yang awal tuduh legalisasi seks bebas sebut kini banyak dukung aktivis dan kelompok islam shelter csw bijak nadiem tentang cegah dan keras seksual di kampus tuduh akan legalisasi seks bebas di media sosial bahkan edar tagar
418,iiicak,@Cakuegurl,2021-11-18T05:56:28.000Z,and lah gue malah bingung sama yang kontrapdhl permendikbud bantu korban banget karena atur dekanrektor kampus gadiatur tentang leceh ginikalimat legal tidak ada gue jadi bingung tafsir kok sampai kesitu padahal jelas jelas keras seksual ya keras arti paksa
419,jelly,@fortunejelly,2021-11-18T05:48:52.000Z,cape banget tonton mata najwa episode keras seksual di kampus bangsat
420,apa aja,@herowearsmask,2021-11-18T05:46:16.000Z,and others kalau sama mau dan mau laku hubung seksual di lingkung kampus itu lebih ke langgar atur kampus saja sih turut bukan arti kata dari permendikbud izin legal seks permendikbud hanya fokus ke leceh seksual itu sebab nama
421,cerita.parapuan,@Cerita_Parapuan,2021-11-18T05:32:03.000Z,baru kasus duga leceh seksual di kampus dekan fakultas ilmu sosial dan ilmu politik unri jadi sangka dekan fakultas ilmu sosial dan ilmu politik unri jadi sangka parapuan baru kasus duga leceh seksual di lingkup kampus unri dekan fakultas ilmu sosial dan ilmu politik unri tetap jadi sangka
422,#MenjadiManusiaProduktif,@GerakanPemuda_,2021-11-18T05:29:42.000Z,penting cegah dan tangan keras seksual ppks di lingkung guru tinggi views
423,#MenjadiManusiaProduktif,@GerakanPemuda_,2021-11-18T05:28:52.000Z,segera lapor bila ada keras dan leceh seksual di lingkung guru tinggi
424,cerita.parapuan,@Cerita_Parapuan,2021-11-18T05:32:03.000Z,baru kasus duga leceh seksual di kampus dekan fakultas ilmu sosial dan ilmu politik unri jadi sangka dekan fakultas ilmu sosial dan ilmu politik unri jadi sangka parapuan baru kasus duga leceh seksual di lingkup kampus unri dekan fakultas ilmu sosial dan ilmu politik unri tetap jadi sangka
425,#MenjadiManusiaProduktif,@GerakanPemuda_,2021-11-18T05:29:42.000Z,penting cegah dan tangan keras seksual ppks di lingkung guru tinggi views
426,#MenjadiManusiaProduktif,@GerakanPemuda_,2021-11-18T05:28:52.000Z,segera lapor bila ada keras dan leceh seksual di lingkung guru tinggi
427,#MenjadiManusiaProduktif,@GerakanPemuda_,2021-11-18T05:28:17.000Z,mari dukung cegah dan tangan keras seksual di guru tinggi
428,raa,@haechanteros,2021-11-18T05:25:56.000Z,and ada di mata najwa yang tentang leceh seksual di kampus jadi di permen itu sebut apa saja yang bisa golong keras seksual pakai istilah tanpa tuju korban yang kontra anggap itu legal zina padahal kan out of context banget tidak ada hubung sama zina
429,Aldi,@_itsmealdi,2021-11-18T05:18:32.000Z,ada dekan kampus yang kena kasus leceh seksual ada ulama yang kena kasus duga terorisme dan ada menteri yang minta agar orang miskin syukur karena upah minimum regional kita masuk yang tinggi random banget negara
430,yuda,@archyoodaa,2021-11-18T05:09:14.000Z,sudah pada tonton mata najwa yang kasus leceh seksual di kampus tidak asli mbak najwa sampai gemeteran habis bicara sama narusmbernya
431,tvOneNews,@tvOneNews,2021-11-18T05:01:07.000Z,kasus bimbing seksual di kampus unri dosen jadi sangka bimbing seksual di kampus unri dosen jadi sangka syafri harto kini telah sandang status sangka dalam kasus yang jerat yakni duga leceh seksual hadap lah yang tak lain adalah mahasiswi
432,DPW Garda Pemuda NasDem Papua,@gpnasdempapua,2021-11-18T02:31:18.000Z,rt nasional demokrat lalu kakak taufik basari apresiasi permendikbud tentang tangan dan cegah keras seksual di lingkung guru tinggi turut keras seksual di lingkung kampus sudah jadi hal yang harus
433,My life is waiting for you,@cremeunha0509,2021-11-18T01:15:50.000Z,maaf bu dokter tahu saya permendikbud ini hanya laku untuk kasus keras seksual di lingkung kampus apa hubung ya twit ibu ini dengan permendikbud memang gerai makan diri di kampus dari eva sri ana chaniago november pasien laki muda hiv antar ibu sakit gara gara sex bebas dengan kerja seks komersial online padahal kerja hanya di gerai makan siap saji kenapa tidak pikir nikah saja ya daripada buang uang bonus hiv pula orang tua datang dari kampung kaget luar biasa jangan beri ruang sex bebas
434,Ade Armando,@AdeArmando24,2021-11-18T00:58:00.000Z,dukung dari aktivis dan organisasi islam bagi putus menteri nadiem kena cegah keras seksual di kampus kini datang alhamdulillah shelter csw bijak nadiem tentang cegah dan keras seksual di kampus tuduh akan legalisasi seks bebas di media sosial bahkan edar tagar
435,Marta Demisa,@MartaFrazier,2021-11-17T21:31:25.000Z,kampus bakal sibuk diri urus kasus yang tidak pakai relasi kuasa padahal relasi kuasa itu sebab permendikbud perlu buat lihat itu kampus cenderung enggan usut kasus keras seksual yang libat dosen
436,HIMAKI FMIPA UNRI,@himakifmipaunri,2021-11-17T21:23:37.000Z,literaksi jilid rupa lanjut program kerja literaksi belum dari dinas advokesma yang tuju untuk asah pola pikir kritis mahasiswa ikut kembang isu yang jadi di lingkung kampus utama problemik leceh seksual seperti saat sekarang ini
437,dunia,@pilihanlelaki,2021-11-17T19:54:03.000Z,pilih keras seksual di kampus jamur regulasi nilai tak cukup deutsche welle banyak kasus keras seksual jadi di kampus namun sembunyi atas nama baik kampus fenomena ini seperti gunung es ujar profesor nina nurmila dari universitas islam negeri sunan gunung jati
439,UNY MENFESS!,@UNYmfs,2021-11-17T17:05:04.000Z,uny apakah kampus kita sudah benarbenar bebas dari tindak keras seksual oleh tenaga didik
440,Bugie Aryatmo,@BAryatmo,2021-11-17T16:39:23.000Z,tangkal keras seksual arti bablas jadi legal zina karena ada izin terus laku bisa tiba jadi superior bahkan tuntut korbanya ini sih sudah hilang berani apalagi kampus membackupnya duga laku pakai nurani saja sih ini bakal bapak yang hormat
441,LPMH UNHAS,@LPMH_UH,2021-11-17T15:34:18.000Z,antara seks bebas dan payung hukum keras seksual di lingkung kampus ahkamul ihkam mada akhirakhir ini publik ramai dengan debat kait atur menteri didik budaya riset dan teknologi permendibudristek tentang cegah
442,abaikan,@uwisnew,2021-11-17T15:33:46.000Z,and others sih abang gagal paham dari dulu tidak ada atur spesifik tentang zina di kampus terus pada zina di lorong dan semua sudut kampus begitu itu adalah model pikir laku keras seksual
443,Fahd Pahdepie,@fahdpahdepie,2021-11-17T15:29:25.000Z,maka hai menteri didik dan budaya jawab cara terang soal ini jelas ke publik jangan sampai bola liar biar bagi pihak justru jadi tuduh aisyiyah muhammadiyah atau majelis ulama indonesia tidak pro sama cegah tangan keras seksual di kampus
444,Fahd Pahdepie,@fahdpahdepie,2021-11-17T15:24:50.000Z,sekali lagi tidak ada satu organisasi masyarakat atau tokoh agama masuk muhammadiyah aisyiyah majelis ulama indonesia yang tidak mau ini tegak untuk selamat lindung kelompok rentan keras seksual di kampusapapun gender bukan cuma perempuan lo
445,Risa.,@risaays,2021-11-17T14:58:36.000Z,kampus gue viral karena presmanya leceh seksual sama gue viral karena gedung baru bangun sudah roboh gila seru banget sampai tak tau apa yang mau
446,bagas heradhyaksa,@heradhyaksa,2021-11-17T14:28:43.000Z,bagi lain lagi dapat bahwa frasa sebut ada justru untuk lindung korban adapun kena giat seksual di tempat umum bahkan di kampus sudah banyak atur hukum lain yang larang mari kita diskusi sama bagas heradhyaksa november tidak mungkin ada yang dukung jadi keras seksual apalagi di kampus debat jadi kena frasa tanpa tuju korban bagi arti bahwa dengan tuju maka giat seksual boleh laku di kampus sehingga mereka kontra dengan atur ini
447,Kasan Mulyono LombokInsider.com,@KasanMulyono,2021-11-17T10:47:31.000Z,nadiem makarim kaget kondisi parah banget dosen tahu ada keras seksual di kampus lombok insider kondisi parah banget dosen tahu ada keras seksual di kampus budaya ristek dan teknologi aku kaget dengan fenomena leceh seksual yang jadi di kampus di indonesia
448,Deha | Manifesting pola,@simpheeherina,2021-11-17T10:43:22.000Z,aga prihatin ya sekarang banyak kasus keras seksual di lingkung sekolahkampus piku november guru pjok dan agama adalah guru paling porno show this thread
449,Mic,@PapaMickyy,2021-11-17T10:41:20.000Z,wakil majelis musyawarat rakyat tapi tidak bisa posisi diri bagai korban keras seksual di lingkung kampus yang butuh lindung supaya mereka bisa speak up the truth yang telah alami hidayat nur wahid november pp muhammadiyah dan partai adil sejahtera tetap ingin permendikbud cabut dan revisi didik
450,Mic,@PapaMickyy,2021-11-17T10:36:07.000Z,tolong organisasi masyarakat agama apa itu yang ada di indonesia jadi posisi kalian pada korban rasa seksual di lingkung kampus yang butuh akan lindung maka permendikbud buat untuk itu
451,UNDIP MENFESS | BACA RULES,@undipmenfess,2021-11-17T10:01:29.000Z,cegah dan tangan keras seksual ppks di guru tinggi tengah jadi sorot bagai kalang namun apakah ada atur perintah itu dapat lindung korban keras seksual di lingkung kampus
452,UNDIP MENFESS | BACA RULES,@undipmenfess,2021-11-17T10:01:28.000Z,webinar sexualitea halo semuaa celah seksual di lingkung kampus jadi masalah yang harus tanggulang sama kemendikbudristekdikti keluar permendikbudristek tentang cont
453,Jaka Prana,@JakaPrana12,2021-11-17T09:59:59.000Z,hasil survei direktorat jenderal didik tinggi riset dan teknologi menteri didik pada sebut persen dosen aku ada keras seksual di kampus dan persen korban tidak lapor kasus kepada kelola universitas
454,Jaka Prana,@JakaPrana12,2021-11-17T09:59:58.000Z,kasuskasus keras dan leceh seksual di kampus lama ini tak ungkap karena kuat relasi kuasa para laku dan tidak ada payung hukum
455,Jaka Prana,@JakaPrana12,2021-11-17T09:59:58.000Z,regulasi yang terbit menteri nadiem makarim ini tak hanya jadi angin segar bagi ungkap kasuskasus keras seksual di kampus tapi juga atur lindung dan pulih bagi korban
456,rin !%,@harucjiyo,2021-11-17T09:59:47.000Z,and by the way aku tau ini dari yutubnya najwa shibab ya yang lagi bahas tentang predator seksual kampus sekaligus pro kontra permen
457,tokyo (taylor's version),@tokyoowest,2021-11-17T09:54:08.000Z,asli gara gara kasus leceh seksual di kampus itujadi trust isu sama guru cowok nieh mana banyak cowok lagi guru moga tidak kayak begitu ya allah
458,LPM Psikogenesis,@Psikogenesis,2021-11-17T09:45:12.000Z,live lapor santai obrol perkara sangar hitam putih dunia kampus darurat keras seksual oleh badan eksekutif mahasiswa kema fpsi universitas negeri malang yang langsung di baruga mahasiswa fpsi universitas negeri malang rabu
459,Go Riau,@GoRiauCom,2021-11-17T07:15:03.000Z,demi nama baik kampus dewan wakil rakyat daerah riau himbau semua pihak tahan diri dalam kasus duga leceh seksual dewan wakil rakyat daerah riau himbau semua pihak tahan diri dalam kasus duga leceh seksual pekanbaru untuk jaga nama baik kampus bangga di riau yakni universitas riau ketua komisi i dewan wakil rakyat daerah riau adek agus hartanto ajak semua pihak
460,Kompas.com,@kompascom,2021-11-17T06:26:07.000Z,cinta laura dukung permendikbud karena keras seksual di kampus seringkali diam cinta laura bicara soal keras seksual dan harap cinta laura dukung permendikbud karena keras seksual di kampus seringkali diam
461,Kasan Mulyono LombokInsider.com,@KasanMulyono,2021-11-17T06:23:45.000Z,tentang keras seksual di kampus cinta laura pasang foto ini di akun instagramnya dan tulis lsquoconsentrsquo cinta laura pasang foto ini di akun instagramnya dan artis cinta laura tulis anti ks di kampus pada tangan dan unggah di instagram
462,𝐦 𝐨 𝐨 𝐧,@DSMacchiato,2021-11-17T06:23:07.000Z,and others permen konteks cegah keras seksual civitas akademika mahasiswa dosen staf dan lain lain buat dasar marak kasus leceh oleh dosenpejabat kampus kepada mahasiswa
463,yuanda,@yoeandha01,2021-11-17T06:01:31.000Z,mas dalam tata tertib kampusyg anda sebut tadi yang larang itu asusila yang hendak atau yang tidak hendak atau dua harus sampai sini sih sudah paham bahwa kampus lalu atur tentang larang tindak asusila sudah larang keras seksual ling kampus november and atur asusila sudah jabar di dalam tata tertib kampus namun definisi asusila sendiri yang bagi dua sehingga tekan cara khusus dalam permen ini kait asusila yang tidak hendak namun batas teritorial batas lingkung akademis
464,viktorkonyolsky,@viktorkonyolsky,2021-11-17T05:53:32.000Z,lakilaki mana yang tidak tarik cara seksual lalu lihat kalau yang survei lakilaki homo semua ya kita percaya lakilaki datang ke kampus mau ajar bukan tonton tarzan
465,ر ا م,@ramdikalisme,2021-11-17T05:26:36.000Z,and kuhp yang pertama bagai rujuk definisi asusila yang mas tanya atur internal kampus bagai atur yang bawah permendikbud urgensi permen ini keluar karena marak kasus keras seksual di lingkung akademis
466,BEM FMIPA UI,@bemFMIPAUI,2021-11-17T05:08:10.000Z,aliansi keras seksual dalam kampus badan eksekutif mahasiswa oi badan eksekutif mahasiswa fh oi badan eksekutif mahasiswa fib oi badan eksekutif mahasiswa industri kecil tengah fk oi badan eksekutif mahasiswa fkg oi badan eksekutif mahasiswa im fakultas sehat masyarakat oi badan eksekutif mahasiswa fan fiction oi badan eksekutif mahasiswa fmipa oi badan eksekutif mahasiswa fakultas ilmu sosial dan ilmu politik oi badan eksekutif mahasiswa fpsi oi badan eksekutif mahasiswa februari oi badan eksekutif mahasiswa fik oi badan eksekutif mahasiswa fasilkom oi badan eksekutif mahasiswa ft oi badan eksekutif mahasiswa fia oi badan eksekutif mahasiswa vokasi oi dan hopehelps oi
467,BEM FMIPA UI,@bemFMIPAUI,2021-11-17T05:07:53.000Z,oleh karena itu aliansi keras seksual dalam kampus seui nyata sikap yang dapat akses pada pranala ikut
468,Awaludin Saputra,@awal_saputra07,2021-11-17T05:01:22.000Z,satu hari sidang hakim anda dakwa laku tindak keras seksual di kampus sangka nanti dulu pak hakim sudah baca permendikbudristek no tahun tindak yang saya laku itu boleh karena atas tuju korban hakim menteri mana menteri
469,Go Riau,@GoRiauCom,2021-11-17T04:43:05.000Z,demi nama baik kampus dewan wakil rakyat daerah riau himbau semua pihak tahan diri dalam kasus duga leceh seksual dewan wakil rakyat daerah riau himbau semua pihak tahan diri dalam kasus duga leceh seksual pekanbaru untuk jaga nama baik kampus bangga di riau yakni universitas riau ketua komisi i dewan wakil rakyat daerah riau adek agus hartanto ajak semua pihak
470,Haluan Kepri,@HaluanKepri_,2021-11-17T04:17:03.000Z,kasus leceh seksual di kampus sering jadi begini tanggap cinta laura the ikut media includes potentially sensitive content change settings view
471,Partai NasDem,@NasDem,2021-11-17T04:11:04.000Z,nasional demokrat lalu kakak taufik basari apresiasi permendikbud tentang tangan dan cegah keras seksual di lingkung guru tinggi turut keras seksual di lingkung kampus sudah jadi hal yang harus jadi perhati serius
472,Majalah Tempo,@temponewsroom,2021-11-17T03:46:18.000Z,prokontra atur menteri nadiem makarim cegah keras seksual di kampus partai adil sejahtera tentang dengan alas tak pakai norma agama
473,OpiniRakyat4,@ORakyat4,2021-11-17T03:41:04.000Z,yang nama aktivitas seksual tanpa nikah di kampus sekolah tempat umum dengan suka sama suka apalagi dengan paksa atau keras itu semua haram hukum diam
474,Justika | Konsultasi Hukum via Online,@justika_id,2021-11-17T02:29:43.000Z,tuju dari permendikbud nomor tahun adalah bagai lindung kepada sintas keras seksual di lingkung kampus
475,Terkinidotid,@terkinidotid,2021-11-17T02:24:05.000Z,fakta kasus keras seksual di kampus nadiem makarim dahsyat parah banget nadiem makarim dahsyat parah banget jakarta menteri didik budaya riset dan teknologi menteri didik dan budaya ristek nadiem makarim hadir bagai bintang tamu dalam kanal youtube deddy corbuzier cara terangterangan
476,Erie,@eriemrn,2021-11-17T01:47:16.000Z,and others ini agar lembaga didik serius singkap lapor soal keras seksual karena lama ini cenderung tutup bahkan lindung laku karena nama baik kampussekolah kalau buat sangkut pidana seperti perkosa proses hukum oleh polisi bukan sekolah
477,Erie,@eriemrn,2021-11-17T01:45:23.000Z,and others esensi permendikbud adalah untuk lindung anak didik dari potensi keras seksual yang laku oleh oknum dalam lembaga didik bisa sama anak didik senior ato tenaga ajar sanksi juga administratif seperti turun akreditasi kampus atau lembaga didik
478,Naila Thaminah,@ThaminahNaila,2021-11-17T01:27:15.000Z,ya efektif lah semua laku jahat seksual kena sanksi administratif pecat dari kampus
479,kondedotco,@konde_co,2021-11-17T01:09:06.000Z,predator seksual itu benar sudah gentayang di manamana dan dari dulu ada di sekolah dan kampus awal predator ini bisa saja laku cara baik purapura ramah tapi kemudian ancam dan leceh murid atau mahasiswi kamu mesti waspada di sekolah dan kampus awal predator ini bisa saja laku cara baik purapura ramah tapi
480,Magdalene,@magdaleneid,2021-11-17T01:08:00.000Z,kita perlu ingat keras seksual guru tinggi akan tetap ada kendati permen ppks hilang cabut atur ini akan untung para laku keras seksual yang saat ini masih liar bebas di lingkung kampus pandemi keras kampus permen ppks jangan korting orangorang di garda depan yang tolak permen ppks adalah mereka yang punya riwayat tentang keras rancang undang undang partai adil sejahtera
481,ulul azmi,@ululazmisyfr,2021-11-17T01:06:18.000Z,ya kan memang tidak boleh laku yang atur permen ini kalau ada unsur paksa permen ini jadi payung hukum di kampus untuk kasus paksa dalam konteks keras seksual kalau tidak paksa juga tetap hukum lewat tatib kampus harus tidak ada problem
482,Rew-B,@rubyastari,2021-11-17T01:05:06.000Z,predator seksual benar sudah gentayang di manamana dan dari dulu ada di sekolah dan kampus awal predator ini bisa saja laku cara baik purapura ramah tapi kemudian ancam dan leceh murid atau mahasiswi kamu mesti waspada di sekolah dan kampus awal predator ini bisa saja laku cara baik purapura ramah tapi
483,Mimi Nizam,@MimiNizam15,2021-11-16T23:23:19.000Z,bukankah biar aktivitas seksual yang laku dengan tuju dan tanpa paksa alias zina yang sudah fenomenal juga arti buka celah rusa moral generasi terus adab apakah yang ia maksud dengan kampus merdeka adalah kampus yang be
484,Pace Naturalisasi,@rachmanndsyah,2021-11-16T22:49:52.000Z,inti semua pihak sepakat kalau keras seksual tidak boleh jadi mana itu di kampus maupun di luar kampus yang banyak debat adalah narasi yang bias dan multi tafsir peluang langgar norma agama
485,yuanda,@yoeandha01,2021-11-16T22:43:28.000Z,and others tindak keras seksual juga masuk dalam tindak asusila kan dengan logika yang sama lingkung kampus sudah ada kode etik larang semua tindak asusila maka permendikbud ini jadi tidak perlu
486,Hanneli Drakenburg,@itsdrakenburg,2021-11-16T22:26:18.000Z,and others begini lah konsep sih paling erti normak agamak consent tuju bukan keras seksual asusila kena atur kampus tidak tuju keras seksual kena permendikbud kamu pada itu terlalu sibuk nyiptain pasal halu padahal tidak sambung sama pasal asli
487,Hanneli Drakenburg,@itsdrakenburg,2021-11-16T22:16:04.000Z,and others permendikbud benar prisek permendikbud cuma bahas keras seksual trolol asusila adalah sudah atur atur kampus masing dan lebih lanjut atur di undang undang pornografi wkwk tabrak norma oh arti lindung korban keras seksual itu tabrak norma
488,bebrayan,@NgilmuKantiLaku,2021-11-16T21:18:59.000Z,and ya efektif lah semua laku jahat seksual kena sanksi administratif pecat dari kampus
489,Lia || 2021 Sambat dlu bentar,@brightcahya,2021-11-16T16:58:01.000Z,and makanya dari kampus harus nerapin lagi kalau kampus nya bisa atasin masalah keras seksual ini akreditasi nya juga naik kok sama untung kan
490,BEM Universitas Riau,@bemunri,2021-11-16T16:32:08.000Z,badan eksekutif mahasiswa unri usut tuntas kasus leceh seksual di kampus unri badan eksekutif mahasiswa unri sama lembaga seunri laku aksi solidaritas lengkap di utm mediumcopy link
491,Umma Fatih,@umma_fatih,2021-11-16T16:10:38.000Z,bukankah biar aktivitas seksual yang laku dengan tuju dan tanpa paksa alias zina yang sudah fenomenal juga arti buka celah rusa moral generasi terus adab apakah yang ia maksud dengan kampus merdeka adalah kampus yang bebas merdeka
492,ArmanBujadhna,@ABujadhna,2021-11-16T15:58:15.000Z,bukankah biar aktivitas seksual yang laku dengan tuju dan tanpa paksa alias zina yang sudah fenomenal juga arti buka celah rusa moral generasi terus adab apakah yang ia maksud dengan kampus merdeka adalah kampus yang bebas
493,A. Ananta Harlan,@anantaharlan,2021-11-16T14:19:27.000Z,tanggap halhal kait dengan ada kekerasanpelecehan seksual di kampus memang ini jadi polemik yang sulit untuk tuntas mungkin hal mudah dan saat ini bisa laku adalah dengan cara cegah wajib ada pihak tiga dalam tiap temu
494,Lin An,@LinAn95859684,2021-11-16T14:14:29.000Z,bukankah biar aktivitas seksual yang laku dengan tuju dan tanpa paksa alias zina yang sudah fenomenal juga arti buka celah rusa moral generasi pnrs adab apakah yang ia maksud dengan kampus merdeka adalah kampus yang bebas merdeka
495,IG: @pacmannai,IG: @pacmannai,2021-11-16T14:04:38.000Z,tau sexual assault harassment violence visualisasi jahat seksual di kampus academia is tied in knots a thread
496,Abdi Surya,@pringadi_as,2021-11-16T14:00:07.000Z,atur menteri itu sifat atur teknis dia jadi pedoman bagi laksana jadi ini latar belakang ada banyak keras seksual di kampus tadi tidak ada atur teknis kalau tahu kampus harus bagaimana
497,Mimi Nizam,@MimiNizam15,2021-11-16T13:58:48.000Z,bukankah biar aktivitas seksual yang laku dengan tuju dan tanpa paksa alias zina yang sudah fenomenal juga arti buka celah rusa moral generasi terus adab apakah yang ia maksud dengan kampus merdeka adalah kampus yang
498,Herodes Antipas The Prophet Slayer,@fahranjanuarr,2021-11-16T13:38:58.000Z,anjing shock parah dengar keras seksual jadi di kampus damn
499,Tri Hartiyah,@THartiyah,2021-11-16T13:35:08.000Z,bukankah biar aktivitas seksual yang laku dengan tuju dan tanpa paksa alias zina yang sudah fenomenal juga arti buka celah rusa moral generasi terus adab apakah yang ia maksud dengan kampus merdeka adalah kampus yang
500,Boloma Abdu,@abduboloma,2021-11-16T13:31:24.000Z,di kampus saja ada keras seksual moga isuisu seperti ini bisa di basmi tuntas dengan didik karakter yang kuat disiplin serta
501,Asiah N. H.,@asiahnh,2021-11-16T13:21:34.000Z,i loathed the fact that i was born as a female enggak pernah rasa aman di mana pun masuk di lingkung didik jadi buat justru penting banget a good pindah buat cegah dan tangan keras seksual di kampus jadi kenapa mesti debat yang november arti korban adalah objek yang kena tindak yang tidak ingin oleh diri tindak yang timpa diri itu buat derita logika tak akan ada korban yang tuju diri jadi korban frasa tanpa atau atas tuju korban sangat masalah cara bahasa show this thread
502,Kompas.com,@kompascom,2021-11-16T13:12:43.000Z,aktris cinta laura dukung penuh permendikbud nomor tahun tentang cegah dan tangan keras seksual ppks di lingkung kampus korban keras seksual di kampus selalu salah aktris cinta laura dukung penuh permendikbud nomor tahun tentang cegah dan tangan keras seksual ppks di lingkung kampus
503,Prof. Soeganda,@mariodesuganda,2021-11-16T12:52:13.000Z,paradigma memang harus ubah sih jangan biasa ada kasus leceh seksual tutup dengan dalih jaga nama baik kampus justru kampus yang buka aku cari solusi atas dan tegak adil yang hasil jaga nama baik kampus
504,#NKRI,@SammiSoh,2021-11-16T12:52:04.000Z,nadiem instruksi semua kampus jalan undang undang keras seksual eh tiba ada yang jual agama islam bilang nadiem tantang umat islam pak polisi tolong serok provokator begini amat nadiem tantang
505,TVMu,@TVMuhammadiyah,2021-11-16T12:07:21.000Z,
506,TVMu,@TVMuhammadiyah,2021-11-16T12:07:08.000Z,
507,TVMu,@TVMuhammadiyah,2021-11-16T12:06:54.000Z,
508,TVMu,@TVMuhammadiyah,2021-11-16T12:06:39.000Z,
509,TVMu,@TVMuhammadiyah,2021-11-16T12:06:23.000Z,
510,Kasan Mulyono LombokInsider.com,@KasanMulyono,2021-11-16T10:43:11.000Z,nadiem makarim kaget kondisi parah banget dosen tahu ada keras seksual di kampus kondisi parah banget dosen tahu ada keras seksual di kampus budaya ristek dan teknologi aku kaget dengan fenomena leceh seksual yang jadi di kampus di indonesia
511,Charles Van Catto,@VernalEquinox__,2021-11-16T10:39:37.000Z,and others nah dengan ada permendikbud ini tidak jadi angin segar bagi para korban leceh seksual dengan ada payung hukum sehingga lebih berani buat speak up meski masih dalam lingkup lingkung kampus
512,Rasain_ga,@Rasain_ga,2021-11-16T10:30:17.000Z,kongres ulama perempuan dukung larang keras seksual di kampus atur menteri didik budaya riset dan teknologi nomor tahun tentang cegah di
513,Icuk Prayogi,@icukprayogi,2021-11-16T10:27:18.000Z,permendikbud itu bahas keras seksual bukan larang seks hal begini saja kok ruwet kalau mau ya desak saja menteri untuk bikin permendikbud tentang larang seks di lingkung kampus misal di sini tunjuk netral dan waras logika badan eksekutif mahasiswa oi november kata frasa tuju korban anggap legal seks bebas namun apakah benar padahal yang jadi fokus permendikbud ini adalah kait lindung kepada korban keras seksual pulih hak korban dan bagaimana korban harus laku show this thread
514,Kasan Mulyono LombokInsider.com,@KasanMulyono,2021-11-16T10:27:02.000Z,fahira idris praktik keras seksual di kampus sudah jadi resah publik luas harus cari solusi praktik keras seksual di kampus sudah jadi resah publik luas
515,BEM FKM UNMUL,@BEMFKMUNMUL,2021-11-16T10:07:04.000Z,survei jahat seksual di kampus unmul survei ini khusus untuk seluruh mahasiswi universitas mulawarman bagai bentuk peduli hadap sama perempuan link survei periode isi survei hingga november
516,Rumail Abbas,@Stakof,2021-11-16T09:49:49.000Z,misal seperti usul saya buka baju di kampus selain di ruang yang sifat pribadi larang mau ada konsentrasi atau tidak kalau konsentrasi sanksi tidak konsens sanksi sanksi tambah tindak keras seksual
